decade,rank,track_name,artist_name,streams,country
2000s,35,Apologize,Timbaland feat. OneRepublic,63655659,USA
2000s,36,Bleeding Love,Leona Lewis,56277526,USA
2000s,37,How You Remind Me,Nickelback,54010754,USA
2000s,38,No One,Alicia Keys,51882243,USA
2000s,39,Fallin',Alicia Keys,46806059,USA
2000s,40,Boom Boom Pow,The Black Eyed Peas,47597517,USA
2000s,41,We Belong Together,Mariah Carey,44855499,USA
2000s,42,Yeah!,Usher feat. Lil Jon & Ludacris,38066660,USA
2000s,43,Low,Flo Rida feat. T-Pain,37166099,USA
2000s,44,I Gotta Feeling,The Black Eyed Peas,33756921,USA
2000s,45,Apologize,Timbaland feat. OneRepublic,31563595,USA
2000s,46,Bleeding Love,Leona Lewis,28104601,USA
2000s,47,How You Remind Me,Nickelback,29687669,USA
2000s,48,No One,Alicia Keys,27304540,USA
2000s,49,Fallin',Alicia Keys,22960030,USA
2000s,50,Boom Boom Pow,The Black Eyed Peas,22783967,USA
2000s,51,We Belong Together,Mariah Carey,25114958,USA
2000s,52,Yeah!,Usher feat. Lil Jon & Ludacris,19742812,USA
2000s,53,Low,Flo Rida feat. T-Pain,17896484,USA
2000s,54,I Gotta Feeling,The Black Eyed Peas,18762204,USA
2000s,55,Apologize,Timbaland feat. OneRepublic,20609861,USA
2000s,56,Bleeding Love,Leona Lewis,15086532,USA
2000s,57,How You Remind Me,Nickelback,16668962,USA
2000s,58,No One,Alicia Keys,16267697,USA
2000s,59,Fallin',Alicia Keys,12241926,USA
2000s,60,Boom Boom Pow,The Black Eyed Peas,14356433,USA
2000s,61,We Belong Together,Mariah Carey,11414606,USA
2000s,62,Yeah!,Usher feat. Lil Jon & Ludacris,12269267,USA
2000s,63,Low,Flo Rida feat. T-Pain,11588085,USA
2000s,64,I Gotta Feeling,The Black Eyed Peas,10354340,USA
2000s,65,Apologize,Timbaland feat. OneRepublic,7073049,USA
2000s,66,Bleeding Love,Leona Lewis,10971247,USA
2000s,67,How You Remind Me,Nickelback,7346546,USA
2000s,68,No One,Alicia Keys,6035665,USA
2000s,69,Fallin',Alicia Keys,4686211,USA
2000s,70,Boom Boom Pow,The Black Eyed Peas,7540425,USA
2000s,71,We Belong Together,Mariah Carey,7640749,USA
2000s,72,Yeah!,Usher feat. Lil Jon & Ludacris,3280368,USA
2000s,73,Low,Flo Rida feat. T-Pain,5882549,USA
2000s,74,I Gotta Feeling,The Black Eyed Peas,3820366,USA
2000s,75,Apologize,Timbaland feat. OneRepublic,6004744,USA
2000s,76,Bleeding Love,Leona Lewis,2871884,USA
2000s,77,How You Remind Me,Nickelback,5681770,USA
2000s,78,No One,Alicia Keys,3584387,USA
2000s,79,Fallin',Alicia Keys,6628517,USA
2000s,80,Boom Boom Pow,The Black Eyed Peas,1592774,USA
2000s,81,We Belong Together,Mariah Carey,2587988,USA
2000s,82,Yeah!,Usher feat. Lil Jon & Ludacris,1009935,USA
2000s,83,Low,Flo Rida feat. T-Pain,5677510,USA
2000s,84,I Gotta Feeling,The Black Eyed Peas,5205624,USA
2000s,85,Apologize,Timbaland feat. OneRepublic,1312742,USA
2000s,86,Bleeding Love,Leona Lewis,3559091,USA
2000s,87,How You Remind Me,Nickelback,4346569,USA
2000s,88,No One,Alicia Keys,2627846,USA
2000s,89,Fallin',Alicia Keys,2336746,USA
2000s,90,Boom Boom Pow,The Black Eyed Peas,1000000,USA
2000s,91,We Belong Together,Mariah Carey,1000000,USA
2000s,92,Yeah!,Usher feat. Lil Jon & Ludacris,4176395,USA
2000s,93,Low,Flo Rida feat. T-Pain,4088023,USA
2000s,94,I Gotta Feeling,The Black Eyed Peas,2382992,USA
2000s,95,Apologize,Timbaland feat. OneRepublic,1000000,USA
2000s,96,Bleeding Love,Leona Lewis,1000000,USA
2000s,97,How You Remind Me,Nickelback,2671697,USA
2000s,98,No One,Alicia Keys,3619667,USA
2000s,99,Fallin',Alicia Keys,3485304,USA
2000s,100,Boom Boom Pow,The Black Eyed Peas,2772271,USA
2010s,1,Uptown Funk!,Mark Ronson feat. Bruno Mars,500852189,USA
2010s,2,Party Rock Anthem,LMFAO feat. Lauren Bennett & GoonRock,467504839,USA
2010s,3,Shape of You,Ed Sheeran,439769772,USA
2010s,4,Closer,The Chainsmokers feat. Halsey,417683325,USA
2010s,5,Girls Like You,Maroon 5 feat. Cardi B,391013054,USA
2010s,6,We Found Love,Rihanna feat. Calvin Harris,364007193,USA
2010s,7,Old Town Road,Lil Nas X feat. Billy Ray Cyrus,342543719,USA
2010s,8,Somebody That I Used to Know,Gotye feat. Kimbra,325219807,USA
2010s,9,Despacito,Luis Fonsi & Daddy Yankee feat. Justin Bieber,301814838,USA
2010s,10,Rolling in the Deep,Adele,284462249,USA
2010s,11,Uptown Funk!,Mark Ronson feat. Bruno Mars,269599959,USA
2010s,12,Party Rock Anthem,LMFAO feat. Lauren Bennett & GoonRock,254300474,USA
2010s,13,Shape of You,Ed Sheeran,238871924,USA
2010s,14,Closer,The Chainsmokers feat. Halsey,222028163,USA
2010s,15,Girls Like You,Maroon 5 feat. Cardi B,211534670,USA
2010s,16,We Found Love,Rihanna feat. Calvin Harris,196069393,USA
2010s,17,Old Town Road,Lil Nas X feat. Billy Ray Cyrus,184739543,USA
2010s,18,Somebody That I Used to Know,Gotye feat. Kimbra,176118865,USA
2010s,19,Despacito,Luis Fonsi & Daddy Yankee feat. Justin Bieber,165059319,USA
2010s,20,Rolling in the Deep,Adele,156407170,USA
2010s,21,Uptown Funk!,Mark Ronson feat. Bruno Mars,145998797,USA
2010s,22,Party Rock Anthem,LMFAO feat. Lauren Bennett & GoonRock,136759784,USA
2010s,23,Shape of You,Ed Sheeran,125730985,USA
2010s,24,Closer,The Chainsmokers feat. Halsey,119685095,USA
2010s,25,Girls Like You,Maroon 5 feat. Cardi B,111841287,USA
2010s,26,We Found Love,Rihanna feat. Calvin Harris,104919006,USA
2010s,27,Old Town Road,Lil Nas X feat. Billy Ray Cyrus,102905827,USA
2010s,28,Somebody That I Used to Know,Gotye feat. Kimbra,93422285,USA
2010s,29,Despacito,Luis Fonsi & Daddy Yankee feat. Justin Bieber,90772156,USA
2010s,30,Rolling in the Deep,Adele,83901515,USA
2010s,31,Uptown Funk!,Mark Ronson feat. Bruno Mars,79896670,USA
2010s,32,Party Rock Anthem,LMFAO feat. Lauren Bennett & GoonRock,73455957,USA
2010s,33,Shape of You,Ed Sheeran,69495150,USA
2010s,34,Closer,The Chainsmokers feat. Halsey,64846809,USA
2010s,35,Girls Like You,Maroon 5 feat. Cardi B,59169658,USA
2010s,36,We Found Love,Rihanna feat. Calvin Harris,58673021,USA
2010s,37,Old Town Road,Lil Nas X feat. Billy Ray Cyrus,52582644,USA
2010s,38,Somebody That I Used to Know,Gotye feat. Kimbra,47810025,USA
2010s,39,Despacito,Luis Fonsi & Daddy Yankee feat. Justin Bieber,48497115,USA
2010s,40,Rolling in the Deep,Adele,42829489,USA
2010s,41,Uptown Funk!,Mark Ronson feat. Bruno Mars,44723567,USA
2010s,42,Party Rock Anthem,LMFAO feat. Lauren Bennett & GoonRock,42279538,USA
2010s,43,Shape of You,Ed Sheeran,39671794,USA
2010s,44,Closer,The Chainsmokers feat. Halsey,34172604,USA
2010s,45,Girls Like You,Maroon 5 feat. Cardi B,29947292,USA
2010s,46,We Found Love,Rihanna feat. Calvin Harris,33453191,USA
2010s,47,Old Town Road,Lil Nas X feat. Billy Ray Cyrus,28599387,USA
2010s,48,Somebody That I Used to Know,Gotye feat. Kimbra,30088394,USA
2010s,49,Despacito,Luis Fonsi & Daddy Yankee feat. Justin Bieber,28432877,USA
2010s,50,Rolling in the Deep,Adele,26230145,USA
2010s,51,Uptown Funk!,Mark Ronson feat. Bruno Mars,21432056,USA
2010s,52,Party Rock Anthem,LMFAO feat. Lauren Bennett & GoonRock,20616027,USA
2010s,53,Shape of You,Ed Sheeran,22133935,USA
2010s,54,Closer,The Chainsmokers feat. Halsey,17727020,USA
2010s,55,Girls Like You,Maroon 5 feat. Cardi B,15712915,USA
2010s,56,We Found Love,Rihanna feat. Calvin Harris,16975008,USA
2010s,57,Old Town Road,Lil Nas X feat. Billy Ray Cyrus,18253077,USA
2010s,58,Somebody That I Used to Know,Gotye feat. Kimbra,15874159,USA
2010s,59,Despacito,Luis Fonsi & Daddy Yankee feat. Justin Bieber,14236468,USA
2010s,60,Rolling in the Deep,Adele,10570194,USA
2010s,61,Uptown Funk!,Mark Ronson feat. Bruno Mars,12897950,USA
2010s,62,Party Rock Anthem,LMFAO feat. Lauren Bennett & GoonRock,14415755,USA
2010s,63,Shape of You,Ed Sheeran,8627410,USA
2010s,64,Closer,The Chainsmokers feat. Halsey,10249670,USA
2010s,65,Girls Like You,Maroon 5 feat. Cardi B,11795549,USA
2010s,66,We Found Love,Rihanna feat. Calvin Harris,10404043,USA
2010s,67,Old Town Road,Lil Nas X feat. Billy Ray Cyrus,9603960,USA
2010s,68,Somebody That I Used to Know,Gotye feat. Kimbra,9131458,USA
2010s,69,Despacito,Luis Fonsi & Daddy Yankee feat. Justin Bieber,6598507,USA
2010s,70,Rolling in the Deep,Adele,5756618,USA
2010s,71,Uptown Funk!,Mark Ronson feat. Bruno Mars,8431530,USA
2010s,72,Party Rock Anthem,LMFAO feat. Lauren Bennett & GoonRock,8041521,USA
2010s,73,Shape of You,Ed Sheeran,8012424,USA
2010s,74,Closer,The Chainsmokers feat. Halsey,7940834,USA
2010s,75,Girls Like You,Maroon 5 feat. Cardi B,5201762,USA
2010s,76,We Found Love,Rihanna feat. Calvin Harris,4834783,USA
2010s,77,Old Town Road,Lil Nas X feat. Billy Ray Cyrus,6325915,USA
2010s,78,Somebody That I Used to Know,Gotye feat. Kimbra,5163759,USA
2010s,79,Despacito,Luis Fonsi & Daddy Yankee feat. Justin Bieber,5219938,USA
2010s,80,Rolling in the Deep,Adele,5542405,USA
2010s,81,Uptown Funk!,Mark Ronson feat. Bruno Mars,5881622,USA
2010s,82,Party Rock Anthem,LMFAO feat. Lauren Bennett & GoonRock,2357065,USA
2010s,83,Shape of You,Ed Sheeran,2382846,USA
2010s,84,Closer,The Chainsmokers feat. Halsey,1000000,USA
2010s,85,Girls Like You,Maroon 5 feat. Cardi B,3234773,USA
2010s,86,We Found Love,Rihanna feat. Calvin Harris,1000000,USA
2010s,87,Old Town Road,Lil Nas X feat. Billy Ray Cyrus,2236824,USA
2010s,88,Somebody That I Used to Know,Gotye feat. Kimbra,2552509,USA
2010s,89,Despacito,Luis Fonsi & Daddy Yankee feat. Justin Bieber,1000000,USA
2010s,90,Rolling in the Deep,Adele,2574312,USA
2010s,91,Uptown Funk!,Mark Ronson feat. Bruno Mars,1000000,USA
2010s,92,Party Rock Anthem,LMFAO feat. Lauren Bennett & GoonRock,1000000,USA
2010s,93,Shape of You,Ed Sheeran,3621118,USA
2010s,94,Closer,The Chainsmokers feat. Halsey,1000000,USA
2010s,95,Girls Like You,Maroon 5 feat. Cardi B,1000000,USA
2010s,96,We Found Love,Rihanna feat. Calvin Harris,1533421,USA
2010s,97,Old Town Road,Lil Nas X feat. Billy Ray Cyrus,2935925,USA
2010s,98,Somebody That I Used to Know,Gotye feat. Kimbra,1000000,USA
2010s,99,Despacito,Luis Fonsi & Daddy Yankee feat. Justin Bieber,1900128,USA
2010s,100,Rolling in the Deep,Adele,1000000,USA
